gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS25410	MMAR_RS25410	MEgreen	Cellular Respiration & Shear Adaptation	14.413	5.836	ferredoxin--NADP reductase
MMAR_RS17585	MMAR_RS17585	MEbrown	Transmembrane Transport & Secretion	12.482	9.353	putative quinol monooxygenase
MMAR_RS23785	MMAR_RS23785	MEbrown	Transmembrane Transport & Secretion	12.938	5.606	hypothetical protein
MMAR_RS11565	MMAR_RS11565	MEgreen	Cellular Respiration & Shear Adaptation	19.847	11.874	acetyltransferase
MMAR_RS25730	MMAR_RS25730	MEblue	Lipid & Fatty Acid Metabolic Process	28.495	14.204	DUF475 domain-containing protein
MMAR_RS22825	MMAR_RS22825	MEturquoise	Cell Surface & Biofilm Organization	5.455	3.5	chorismate mutase
MMAR_RS00265	MMAR_RS00265	MEturquoise	Cell Surface & Biofilm Organization	10.86	8.905	DUF5631 domain-containing protein
MMAR_RS01715	MMAR_RS01715	MEblue	Lipid & Fatty Acid Metabolic Process	8.751	6.135	nuclear transport factor 2 family protein
MMAR_RS07290	nuoI	MEblue	Lipid & Fatty Acid Metabolic Process	8.883	1.641	NADH-quinone oxidoreductase subunit NuoI
MMAR_RS01160	MMAR_RS01160	MEturquoise	Cell Surface & Biofilm Organization	20.371	16.28	TetR/AcrR family transcriptional regulator
MMAR_RS28580	trpD	MEbrown	Transmembrane Transport & Secretion	9.757	5.431	anthranilate phosphoribosyltransferase
MMAR_RS25205	MMAR_RS25205	MEbrown	Transmembrane Transport & Secretion	9.757	5.431	enoyl-CoA hydratase ChsH3
MMAR_RS06280	MMAR_RS06280	MEgreen	Cellular Respiration & Shear Adaptation	6.218	4.585	TetR/AcrR family transcriptional regulator
MMAR_RS24940	MMAR_RS24940	MEyellow	Response to Stress & Redox Homeostasis	14.299	3.768	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
MMAR_RS21480	MMAR_RS21480	MEbrown	Transmembrane Transport & Secretion	7.11	2.445	mannosyltransferase
MMAR_RS04265	MMAR_RS04265	MEturquoise	Cell Surface & Biofilm Organization	23.331	17.915	HNH endonuclease signature motif containing protein
MMAR_RS25115	MMAR_RS25115	MEturquoise	Cell Surface & Biofilm Organization	10.715	6.185	thiolase family protein
MMAR_RS06265	MMAR_RS06265	MEbrown	Transmembrane Transport & Secretion	4.969	2.545	response regulator
MMAR_RS02770	MMAR_RS02770	MEblue	Lipid & Fatty Acid Metabolic Process	9.386	6.666	DUF7159 family protein
MMAR_RS18445	MMAR_RS18445	MEblue	Lipid & Fatty Acid Metabolic Process	6.488	1.635	reductase
MMAR_RS11760	MMAR_RS11760	MEblue	Lipid & Fatty Acid Metabolic Process	6.242	4.11	asparaginase
MMAR_RS05045	mftD	MEturquoise	Cell Surface & Biofilm Organization	11.093	9.848	pre-mycofactocin synthase MftD
MMAR_RS29635	MMAR_RS29635	MEturquoise	Cell Surface & Biofilm Organization	10.201	7.943	hypothetical protein
MMAR_RS11260	MMAR_RS11260	MEbrown	Transmembrane Transport & Secretion	9.084	1.399	COX15/CtaA family protein
MMAR_RS26750	MMAR_RS26750	MEbrown	Transmembrane Transport & Secretion	9.577	5.634	crotonase/enoyl-CoA hydratase family protein
MMAR_RS00800	MMAR_RS00800	MEturquoise	Cell Surface & Biofilm Organization	23.464	15.26	Rv1363c family protein
