gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
MMAR_RS12340	MMAR_RS12340	6.1623	5.6221	5.5229	0.0000	4.1965	5.7827	6.3965	6.3965	6.8425	type I polyketide synthase
MMAR_RS12345	MMAR_RS12345	8.3165	7.1874	8.8164	8.4849	8.4416	8.7596	8.7047	8.7047	5.8550	type III polyketide synthase
MMAR_RS12350	MMAR_RS12350	5.1823	5.6221	6.5072	6.4969	5.7280	7.3501	7.3880	7.3880	6.8425	cytochrome P450
MMAR_RS12355	MMAR_RS12355	9.5363	9.4020	8.9536	9.8044	8.3679	11.0788	9.6291	9.6291	9.8314	ABC-F family ATP-binding cassette domain-containing protein
MMAR_RS31300	lpqS	9.6674	8.9174	9.8147	9.2905	9.4396	10.0795	9.2885	9.2885	8.8330	putative copper homeostasis (lipo)protein LpqS
MMAR_RS12365	MMAR_RS12365	8.6052	9.5014	9.3009	9.1464	9.2878	9.3434	9.2885	9.2885	8.4190	FAD-dependent oxidoreductase
MMAR_RS12370	MMAR_RS12370	7.7338	7.5999	8.0815	6.9080	6.7143	5.7827	6.9758	6.9758	8.8330	acyl-CoA synthetase
MMAR_RS12375	MMAR_RS12375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8550	Trm112 family protein
MMAR_RS12380	MMAR_RS12380	5.1823	5.6221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	VOC family protein
MMAR_RS12385	MMAR_RS12385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	PE family protein
MMAR_RS12390	MMAR_RS12390	4.2215	4.6511	0.0000	3.9897	4.1965	4.8087	0.0000	0.0000	6.8425	TetR/AcrR family transcriptional regulator
MMAR_RS31150	MMAR_RS31150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ABC-2 transporter permease
MMAR_RS12400	MMAR_RS12400	4.2215	4.6511	0.0000	3.9897	4.1965	4.8087	0.0000	0.0000	6.8425	TetR/AcrR family transcriptional regulator
MMAR_RS12405	MMAR_RS12405	0.0000	0.0000	0.0000	5.9199	6.1362	0.0000	0.0000	0.0000	6.8425	ABC transporter permease
MMAR_RS12410	MMAR_RS12410	0.0000	0.0000	0.0000	4.9436	6.1362	5.7827	5.4136	5.4136	0.0000	ABC transporter ATP-binding protein
MMAR_RS12415	MMAR_RS12415	5.1823	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DNA-3-methyladenine glycosylase
MMAR_RS12420	tyrS	6.7406	7.1874	6.5072	7.2275	5.7280	6.7695	7.7082	7.7082	6.8425	tyrosine--tRNA ligase
MMAR_RS12425	MMAR_RS12425	7.6089	7.5999	8.8164	6.7568	6.5900	6.6771	7.3880	7.3880	7.8789	IS481-like element ISMyma6 family transposase
MMAR_RS12430	MMAR_RS12430	0.0000	0.0000	0.0000	0.0000	5.1566	0.0000	5.4136	5.4136	6.8425	PE family protein
MMAR_RS12435	MMAR_RS12435	7.1522	8.5962	8.3031	7.2275	7.1259	8.9291	8.9672	8.9672	7.8362	zinc ribbon domain-containing protein
MMAR_RS12440	MMAR_RS12440	6.1623	0.0000	0.0000	0.0000	0.0000	7.3501	6.3965	6.3965	5.8550	PE family protein
MMAR_RS12445	MMAR_RS12445	7.7338	9.0546	7.8195	4.9436	7.1259	6.7695	6.9758	6.9758	7.4232	TfuA-like protein
MMAR_RS12450	MMAR_RS12450	9.6033	10.5476	9.4932	8.0712	8.9259	8.7596	9.6291	9.6291	10.0012	YcaO-like family protein
MMAR_RS12455	MMAR_RS12455	5.1823	7.1874	6.5072	6.4969	7.8224	5.7827	7.3880	7.3880	6.8425	DUF732 domain-containing protein
MMAR_RS12460	MMAR_RS12460	5.1823	6.6074	5.5229	4.9436	6.1362	5.7827	6.9758	6.9758	0.0000	tetratricopeptide repeat protein
MMAR_RS12465	MMAR_RS12465	6.1623	0.0000	5.5229	0.0000	4.1965	0.0000	5.4136	5.4136	5.8550	HAD-IIA family hydrolase
MMAR_RS29200	MMAR_RS29200	0.0000	0.0000	0.0000	0.0000	5.1566	0.0000	0.0000	0.0000	5.8550	hypothetical protein
MMAR_RS12470	MMAR_RS12470	6.1623	7.1874	6.5072	5.9199	4.1965	0.0000	5.4136	5.4136	5.8550	TlyA family RNA methyltransferase
MMAR_RS12475	MMAR_RS12475	6.1623	7.9204	7.8195	4.9436	5.1566	0.0000	5.4136	5.4136	0.0000	NAD kinase
MMAR_RS12480	recN	7.1522	6.6074	0.0000	0.0000	6.4540	5.7827	6.3965	6.3965	7.4232	DNA repair protein RecN
MMAR_RS12485	steA	8.7304	10.1173	10.2473	6.4969	7.4458	8.3457	10.3804	10.3804	9.0026	putative cytokinetic ring protein SteA
MMAR_RS12490	MMAR_RS12490	6.7406	8.4041	8.6647	6.4969	0.0000	6.7695	7.9700	7.9700	6.8425	copper transporter
MMAR_RS12495	MMAR_RS12495	9.2319	7.9204	9.3009	7.7102	7.7074	7.3501	9.6291	9.6291	9.4169	CTP synthase
MMAR_RS12500	MMAR_RS12500	0.0000	5.6221	0.0000	4.9436	4.1965	0.0000	6.9758	6.9758	6.8425	NUDIX domain-containing protein
MMAR_RS12505	xerD	5.1823	5.6221	0.0000	4.9436	4.1965	0.0000	7.3880	7.3880	0.0000	site-specific tyrosine recombinase XerD
MMAR_RS12510	MMAR_RS12510	7.1522	7.1874	6.5072	7.2275	6.4540	8.5674	0.0000	0.0000	0.0000	O-methyltransferase
MMAR_RS12515	MMAR_RS12515	5.1823	0.0000	0.0000	0.0000	0.0000	5.7827	5.4136	5.4136	0.0000	inositol-3-phosphate synthase
MMAR_RS12520	MMAR_RS12520	0.0000	0.0000	0.0000	6.4969	5.7280	5.7827	0.0000	0.0000	0.0000	SCO3242 family prenyltransferase
MMAR_RS12525	MMAR_RS12525	5.1823	0.0000	0.0000	5.9199	0.0000	0.0000	0.0000	0.0000	0.0000	TIM barrel protein
MMAR_RS12530	MMAR_RS12530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	TatD family hydrolase
MMAR_RS12535	eboE	0.0000	0.0000	0.0000	4.9436	0.0000	0.0000	0.0000	0.0000	0.0000	metabolite traffic protein EboE
MMAR_RS12540	MMAR_RS12540	6.1623	5.6221	6.5072	6.9080	5.1566	5.7827	5.4136	5.4136	6.8425	alkaline phosphatase family protein
MMAR_RS12545	MMAR_RS12545	5.1823	5.6221	7.0868	5.9199	5.1566	0.0000	6.3965	6.3965	0.0000	hypothetical protein
MMAR_RS12550	MMAR_RS12550	5.1823	6.6074	0.0000	4.9436	0.0000	5.7827	0.0000	0.0000	0.0000	DHA2 family efflux MFS transporter permease subunit
MMAR_RS12555	MMAR_RS12555	6.1623	6.6074	7.8195	4.9436	4.1965	5.7827	7.7082	7.7082	7.4232	PPE family protein
MMAR_RS12560	MMAR_RS12560	5.1823	7.1874	5.5229	6.9080	6.4540	0.0000	0.0000	0.0000	5.8550	PPE family protein
MMAR_RS12565	MMAR_RS12565	8.3165	7.5999	5.5229	8.8989	8.0280	8.9291	7.3880	7.3880	7.4232	non-ribosomal peptide synthetase
MMAR_RS12570	MMAR_RS12570	0.0000	0.0000	0.0000	0.0000	0.0000	5.7827	0.0000	0.0000	0.0000	MbtH family protein
MMAR_RS12575	MMAR_RS12575	0.0000	5.6221	5.5229	5.9199	4.1965	0.0000	5.4136	5.4136	6.8425	acyl-CoA dehydrogenase family protein
MMAR_RS12585	MMAR_RS12585	6.7406	6.6074	0.0000	5.9199	5.1566	5.7827	5.4136	5.4136	0.0000	iron-containing redox enzyme family protein
MMAR_RS12590	MMAR_RS12590	0.0000	0.0000	7.0868	6.9080	5.1566	0.0000	6.9758	6.9758	7.4232	ParA family protein
MMAR_RS12595	MMAR_RS12595	0.0000	6.6074	5.5229	0.0000	4.1965	0.0000	6.3965	6.3965	0.0000	segregation/condensation protein A
MMAR_RS12600	scpB	5.1823	6.6074	6.5072	0.0000	5.7280	0.0000	7.9700	7.9700	6.8425	SMC-Scp complex subunit ScpB
MMAR_RS12605	MMAR_RS12605	5.1823	5.6221	6.5072	4.9436	0.0000	0.0000	6.3965	6.3965	0.0000	pseudouridine synthase
MMAR_RS12610	cmk	6.1623	5.6221	5.5229	0.0000	5.7280	0.0000	0.0000	0.0000	0.0000	(d)CMP kinase
MMAR_RS12615	der	0.0000	7.1874	5.5229	0.0000	0.0000	0.0000	5.4136	5.4136	6.8425	ribosome biogenesis GTPase Der
MMAR_RS31155	MMAR_RS31155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	integrase core domain-containing protein
MMAR_RS31160	MMAR_RS31160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	helix-turn-helix domain-containing protein
MMAR_RS12630	MMAR_RS12630	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	integrase core domain-containing protein
MMAR_RS12640	MMAR_RS12640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	IS3-like element ISMyma3 family transposase
MMAR_RS12645	MMAR_RS12645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DUF4189 domain-containing protein
MMAR_RS12650	MMAR_RS12650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	PPE family protein
MMAR_RS12655	MMAR_RS12655	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DUF5134 domain-containing protein
MMAR_RS12660	MMAR_RS12660	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	copper-translocating P-type ATPase
MMAR_RS12665	MMAR_RS12665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DUF1490 family protein
MMAR_RS12670	MMAR_RS12670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	metal-sensitive transcriptional regulator
